Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,year,drafted_team,drafted_pick,drafted_year,cfb_link,cav_url,cfb_school,cfb_Conf,cfb_G,cfb_Completions,cfb_Attempts,cfb_CompPct,cfb_PassingYds,cfb_YdsPerAtt,cfb_AdjPassPerAtt,cfb_Tds,cfb_Int,cfb_rating,nfl_cav
Brock Berlin,QB,Miami (FL),College Stats,6-1,221,4.83,29.0,,109,7.49,4.54,",,,",2005,,,,https://www.sports-reference.com/cfb/players/brock-berlin-1.html,/players/B/BerlBr00.htm,Miami (FL),NA,37,406,700,58.0,5099,7.3,6.8,34,23,128.6,0
Jason Campbell,QB,Auburn,College Stats,6-5,230,4.71,,,,,,"Washington Redskins,1st,25th pick,2005",2005,Washington Redskins,25,2005,https://www.sports-reference.com/cfb/players/jason-campbell-1.html,/players/C/CampJa00.htm,Auburn,NA,48,552,854,64.6,7299,8.5,8.3,45,24,148.2,48
Timmy Chang,QB,Hawaii,College Stats,6-1,211,5.08,29.0,,111,7.24,4.20,",,,",2005,,,,https://www.sports-reference.com/cfb/players/timmy-chang-1.html,NA,Hawaii,NA,53,1388,2436,57.0,17072,7.0,6.5,117,80,125.1,NA
Ben Dougherty,QB,Florida A&M,,6-2,222,4.72,33.0,,108,7.41,4.34,",,,",2005,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzpatrick,QB,Harvard,,6-2,232,4.86,30.5,,105,7.09,4.07,"St. Louis Rams,7th,250th pick,2005",2005,St. Louis Rams,250,2005,NA,/players/F/FitzRy00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Charlie Frye,QB,Akron,College Stats,6-4,225,4.79,33.0,,113,6.94,4.08,"Cleveland Browns,3rd,67th pick,2005",2005,Cleveland Browns,67,2005,https://www.sports-reference.com/cfb/players/charlie-frye-1.html,/players/F/FryeCh00.htm,Akron,NA,46,913,1436,63.6,11049,7.7,7.6,64,32,138.5,8
David Greene,QB,Georgia,College Stats,6-3,226,4.78,31.5,,115,7.00,4.10,"Seattle Seahawks,3rd,85th pick,2005",2005,Seattle Seahawks,85,2005,https://www.sports-reference.com/cfb/players/david-greene-1.html,NA,Georgia,NA,51,849,1440,59.0,11528,8.0,8.0,72,32,138.3,NA
Gino Guidugli,QB,Cincinnati,College Stats,6-4,229,5.00,29.0,,103,7.41,4.52,",,,",2005,,,,https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,NA,Cincinnati,NA,47,880,1556,56.6,11453,7.4,7.0,78,48,128.8,NA
Josh Haldi,QB,Northern Illinois,College Stats,6-2,215,4.64,33.0,,113,6.89,4.07,",,,",2005,,,,https://www.sports-reference.com/cfb/players/josh-haldi-1.html,NA,Northern Illinois,NA,36,427,776,55.0,6015,7.8,8.1,55,19,138.6,NA
Stefan LeFors,QB,Louisville,College Stats,6-0,208,4.56,31.0,,111,7.03,4.09,"Carolina Panthers,4th,121st pick,2005",2005,Carolina Panthers,121,2005,https://www.sports-reference.com/cfb/players/stefan-lefors-1.html,NA,Louisville,NA,50,416,630,66.0,5853,9.3,9.6,38,13,159.8,NA
Dustin Long,QB,SMU,,6-2,208,4.67,30.5,,108,6.77,4.08,",,,",2005,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian McPherson,QB,Florida State,,6-3,218,4.71,34.5,22,128,6.93,4.08,"New Orleans Saints,5th,152nd pick,2005",2005,New Orleans Saints,152,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craig Ochs,QB,Montana,,6-2,218,4.87,28.5,,104,7.03,4.13,",,,",2005,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Orlovsky,QB,Connecticut,College Stats,6-5,225,4.93,29.5,,107,7.33,4.39,"Detroit Lions,5th,145th pick,2005",2005,Detroit Lions,145,2005,https://www.sports-reference.com/cfb/players/dan-orlovsky-1.html,/players/O/OrloDa00.htm,Connecticut,NA,46,916,1567,58.5,10706,6.8,6.4,84,51,127.0,7
Kyle Orton,QB,Purdue,College Stats,6-4,233,5.06,26.5,,,7.38,4.52,"Chicago Bears,4th,106th pick,2005",2005,Chicago Bears,106,2005,https://www.sports-reference.com/cfb/players/kyle-orton-1.html,/players/O/OrtoKy00.htm,Purdue,NA,44,786,1336,58.8,9337,7.0,7.0,63,28,128.9,40
Bryan Randall,QB,Virginia Tech,College Stats,6-0,225,4.71,33.0,,113,6.97,4.08,",,,",2005,,,,https://www.sports-reference.com/cfb/players/bryan-randall-1.html,NA,Virginia Tech,NA,48,490,833,58.8,6508,7.8,7.3,48,31,136.0,NA
Chris Rix,QB,Florida State,College Stats,6-2,214,4.70,33.5,,116,7.53,4.53,",,,",2005,,,,https://www.sports-reference.com/cfb/players/chris-rix-1.html,NA,Florida State,NA,43,575,1042,55.2,8390,8.1,7.5,63,40,135.1,NA
Aaron Rodgers,QB,California,College Stats,6-2,223,4.71,34.5,,110,7.38,,"Green Bay Packers,1st,24th pick,2005",2005,Green Bay Packers,24,2005,https://www.sports-reference.com/cfb/players/aaron-rodgers-1.html,/players/R/RodgAa00.htm,California,NA,25,424,665,63.8,5469,8.2,8.6,43,13,150.3,152
Alex Smith,QB,Utah,College Stats,6-4,217,4.71,32.0,,113,6.82,3.96,"San Francisco 49ers,1st,1st pick,2005",2005,San Francisco 49ers,1,2005,https://www.sports-reference.com/cfb/players/alex-smith-3.html,/players/S/SmitAl03.htm,Utah,NA,25,389,587,66.3,5203,8.9,9.9,47,8,164.4,98
Alex Smith,QB,Utah,College Stats,6-4,217,4.71,32.0,,113,6.82,3.96,"San Francisco 49ers,1st,1st pick,2005",2005,San Francisco 49ers,1,2005,https://www.sports-reference.com/cfb/players/alex-smith-3.html,/players/S/SmitAl02.htm,Utah,NA,25,389,587,66.3,5203,8.9,9.9,47,8,164.4,11
Andrew Walter,QB,Arizona State,College Stats,6-6,233,4.86,,,,,,"Oakland Raiders,3rd,69th pick,2005",2005,Oakland Raiders,69,2005,https://www.sports-reference.com/cfb/players/andrew-walter-1.html,/players/W/WaltAn00.htm,Arizona State,NA,48,777,1416,54.9,10617,7.5,7.6,85,36,132.6,1
Jason White,QB,Oklahoma,College Stats,6-2,223,4.90,31.0,,108,7.28,4.19,",,,",2005,,,,https://www.sports-reference.com/cfb/players/jason-white-1.html,NA,Oklahoma,NA,40,627,990,63.3,7922,8.0,8.5,81,24,152.7,NA
Brett Basanez,QB,Northwestern,College Stats,6-1,220,4.76,34.0,,114,6.75,4.22,",,,",2006,,,,https://www.sports-reference.com/cfb/players/brett-basanez-1.html,/players/B/BasaBr00.htm,Northwestern,NA,47,913,1584,57.6,10580,6.7,6.2,44,36,118.4,0
Kellen Clemens,QB,Oregon,College Stats,6-2,224,4.89,,,,,,"New York Jets,2nd,49th pick,2006",2006,New York Jets,49,2006,https://www.sports-reference.com/cfb/players/kellen-clemens-1.html,/players/C/ClemKe00.htm,Oregon,NA,37,613,1005,61.0,7555,7.5,7.7,61,24,139.4,10
Brodie Croyle,QB,Alabama,College Stats,6-2,205,4.88,30.5,,104,7.34,4.25,"Kansas City Chiefs,3rd,85th pick,2006",2006,Kansas City Chiefs,85,2006,https://www.sports-reference.com/cfb/players/brodie-croyle-1.html,/players/C/CroyBr00.htm,Alabama,NA,39,488,869,56.2,6382,7.3,7.1,41,22,128.4,2
Jay Cutler,QB,Vanderbilt,College Stats,6-3,226,4.77,,23,,7.10,4.26,"Denver Broncos,1st,11th pick,2006",2006,Denver Broncos,11,2006,https://www.sports-reference.com/cfb/players/jay-cutler-1.html,/players/C/CutlJa00.htm,Vanderbilt,NA,45,710,1242,57.2,8697,7.0,6.6,59,36,125.9,86
Bruce Eugene,QB,Grambling State,,6-0,260,5.12,27.5,,94,7.97,4.76,",,,",2006,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bruce Gradkowski,QB,Toledo,College Stats,6-1,217,4.59,34.0,,107,7.12,4.16,"Tampa Bay Buccaneers,6th,194th pick,2006",2006,Tampa Bay Buccaneers,194,2006,https://www.sports-reference.com/cfb/players/bruce-gradkowski-1.html,/players/G/GradBr00.htm,Toledo,NA,49,766,1123,68.2,9225,8.2,8.6,85,27,157.4,8
Darrell Hackney,QB,Ala-Birmingham,College Stats,6-0,239,4.82,33.0,,110,7.62,4.69,",,,",2006,,,,https://www.sports-reference.com/cfb/players/darrell-hackney-1.html,NA,UAB,NA,41,694,1246,55.7,9886,7.9,7.9,71,33,135.9,NA
Tarvaris Jackson,QB,Arkansas,College Stats,6-2,226,4.69,31.5,22,107,7.40,4.38,"Minnesota Vikings,2nd,64th pick,2006",2006,Minnesota Vikings,64,2006,https://www.sports-reference.com/cfb/players/tarvaris-jackson-1.html,/players/J/JackTa00.htm,Arkansas,NA,11,17,48,35.4,196,4.1,1.7,1,3,64.1,23
Omar Jacobs,QB,Bowling Green,College Stats,6-4,232,4.84,32.5,,108,7.47,4.29,"Pittsburgh Steelers,5th,164th pick,2006",2006,Pittsburgh Steelers,164,2006,https://www.sports-reference.com/cfb/players/omar-jacobs-1.html,NA,Bowling Green State,NA,25,523,811,64.5,6938,8.6,9.7,71,11,162.5,NA
Matt Leinart,QB,USC,College Stats,6-5,223,4.90,,,,,,"Arizona Cardinals,1st,10th pick,2006",2006,Arizona Cardinals,10,2006,https://www.sports-reference.com/cfb/players/matt-leinart-1.html,/players/L/LeinMa00.htm,USC,NA,39,807,1245,64.8,10693,8.6,9.3,99,23,159.5,12
Travis Lulay,QB,Montana State,,6-2,216,4.71,35.0,,111,6.93,4.07,",,,",2006,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingle Martin,QB,Furman,,6-2,220,4.71,36.0,,111,7.13,4.17,"Green Bay Packers,5th,148th pick,2006",2006,Green Bay Packers,148,2006,NA,/players/M/MartIn00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Reggie McNeal,QB,Texas A&M,College Stats,6-2,198,4.40,32.0,,121,6.96,4.25,"Cincinnati Bengals,6th,193rd pick,2006",2006,Cincinnati Bengals,193,2006,https://www.sports-reference.com/cfb/players/reggie-mcneal-1.html,/players/M/McNeRe00.htm,Texas A&M,NA,42,478,875,54.6,6992,8.0,7.8,44,23,133.1,0
Erik Meyer,QB,East. Washington,,6-1,210,4.67,32.5,,112,6.83,4.12,",,,",2006,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrick Nealy,QB,Texas State,,6-4,226,4.57,32.5,,114,6.94,4.26,",,,",2006,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Olson,QB,UCLA,College Stats,6-2,222,5.09,23.0,,97,,4.42,",,,",2006,,,,https://www.sports-reference.com/cfb/players/drew-olson-1.html,NA,UCLA,NA,45,664,1148,57.8,8532,7.4,7.3,67,32,134.0,NA
Paul Pinegar,QB,Fresno State,College Stats,6-5,232,5.10,29.0,,110,7.36,4.49,",,,",2006,,,,https://www.sports-reference.com/cfb/players/paul-pinegar-1.html,NA,Fresno State,NA,49,842,1405,59.9,10136,7.2,6.8,84,49,133.3,NA
Quinton Porter,QB,Boston Col.,College Stats,6-5,233,4.67,33.5,,116,6.76,4.10,",,,",2006,,,,https://www.sports-reference.com/cfb/players/quinton-porter-1.html,NA,Boston College,NA,28,290,484,59.9,3203,6.6,6.3,23,14,125.4,NA
D.J. Shockley,QB,Georgia,College Stats,6-1,214,4.56,37.5,,121,7.07,4.17,"Atlanta Falcons,7th,223rd pick,2006",2006,Atlanta Falcons,223,2006,https://www.sports-reference.com/cfb/players/dj-shockley-1.html,NA,Georgia,NA,38,240,443,54.2,3555,8.0,8.6,34,9,142.8,NA
Kent Smith,QB,Central Michigan,College Stats,6-5,216,4.57,35.0,,122,7.41,4.47,",,,",2006,,,,https://www.sports-reference.com/cfb/players/kent-smith-1.html,NA,Central Michigan,NA,26,453,785,57.7,5179,6.6,6.6,33,15,123.2,NA
Marcus Vick,QB,Virginia Tech,College Stats,6-0,200,4.47,36.0,,117,6.94,4.08,",,,",2006,,,,https://www.sports-reference.com/cfb/players/marcus-vick-1.html,/players/V/VickMa20.htm,Virginia Tech,NA,24,207,346,59.8,2868,8.3,7.4,19,15,138.9,0
Charlie Whitehurst,QB,Clemson,College Stats,6-5,223,4.75,33.0,,112,7.00,4.11,"San Diego Chargers,3rd,81st pick,2006",2006,San Diego Chargers,81,2006,https://www.sports-reference.com/cfb/players/charlie-whitehurst-1.html,/players/W/WhitCh02.htm,Clemson,NA,44,817,1368,59.7,9665,7.1,6.3,49,46,124.2,7
Vince Young,QB,Texas,College Stats,6-5,229,4.48,,,,,,"Tennessee Titans,1st,3rd pick,2006",2006,Tennessee Titans,3,2006,https://www.sports-reference.com/cfb/players/vince-young-1.html,/players/Y/YounVi00.htm,Texas,NA,37,444,718,61.8,6040,8.4,7.9,44,28,144.9,33
John Beck,QB,BYU,College Stats,6-2,215,4.75,29.5,,111,6.81,4.17,"Miami Dolphins,2nd,40th pick,2007",2007,Miami Dolphins,40,2007,https://www.sports-reference.com/cfb/players/john-beck-1.html,/players/B/BeckJo00.htm,Brigham Young,NA,43,885,1418,62.4,11021,7.8,7.8,79,34,141.3,4
Trent Edwards,QB,Stanford,College Stats,6-4,231,4.76,,19,,7.14,4.46,"Buffalo Bills,3rd,92nd pick,2007",2007,Buffalo Bills,92,2007,https://www.sports-reference.com/cfb/players/trent-edwards-1.html,/players/E/EdwaTr01.htm,Stanford,NA,35,487,865,56.3,5429,6.3,5.4,36,33,115.1,16
Luke Getsy,QB,Akron,College Stats,6-2,222,4.96,32.5,,106,6.95,4.46,",,,",2007,,,,https://www.sports-reference.com/cfb/players/luke-getsy-1.html,NA,Akron,NA,31,477,905,52.7,6117,6.8,6.5,41,23,119.4,NA
Matt Gutierrez,QB,Idaho State,College Stats,6-4,232,5.00,29.5,,108,6.99,4.28,",,,",2007,,,,https://www.sports-reference.com/cfb/players/matt-gutierrez-1.html,/players/G/GutiMa00.htm,Michigan,NA,19,27,41,65.9,286,7.0,7.5,1,0,132.5,0
Kevin Kolb,QB,Houston,College Stats,6-3,218,4.85,32.5,,112,6.94,4.44,"Philadelphia Eagles,2nd,36th pick,2007",2007,Philadelphia Eagles,36,2007,https://www.sports-reference.com/cfb/players/kevin-kolb-1.html,/players/K/KolbKe00.htm,Houston,NA,50,964,1565,61.6,12964,8.3,8.5,85,31,145.1,12
Toby Korrodi,QB,Central Missouri State,,6-3,234,5.37,25.0,,91,7.77,4.64,",,,",2007,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Leak,QB,Florida,College Stats,6-0,209,4.74,32.5,,113,7.03,4.41,",,,",2007,,,,https://www.sports-reference.com/cfb/players/chris-leak-1.html,NA,Florida,NA,51,895,1458,61.4,11213,7.7,7.6,88,42,140.1,NA
Tyler Palko,QB,Pittsburgh,College Stats,6-1,215,4.83,31.5,,112,7.05,4.36,",,,",2007,,,,https://www.sports-reference.com/cfb/players/tyler-palko-1.html,/players/P/PalkTy00.htm,Pitt,NA,41,645,1075,60.0,8343,7.8,7.9,66,25,140.8,2
Jordan Palmer,QB,Texas-El Paso,College Stats,6-6,231,4.98,30.5,,104,7.32,4.58,"Washington Redskins,6th,205th pick,2007",2007,Washington Redskins,205,2007,https://www.sports-reference.com/cfb/players/jordan-palmer-1.html,/players/P/PalmJo20.htm,UTEP,NA,46,851,1427,59.6,11084,7.8,7.0,88,64,136.3,0
James Pinkney,QB,East Carolina,College Stats,6-2,208,4.79,34.0,,112,7.35,4.49,",,,",2007,,,,https://www.sports-reference.com/cfb/players/james-pinkney-1.html,NA,East Carolina,NA,43,687,1189,57.8,8173,6.9,6.3,46,35,122.4,NA
Brady Quinn,QB,Notre Dame,College Stats,6-4,232,4.73,,24,,,,"Cleveland Browns,1st,22nd pick,2007",2007,Cleveland Browns,22,2007,https://www.sports-reference.com/cfb/players/brady-quinn-1.html,/players/Q/QuinBr00.htm,Notre Dame,NA,49,929,1602,58.0,11762,7.3,7.4,95,39,134.4,2
Jeff Rowe,QB,Nevada,College Stats,6-5,226,4.91,29.5,,114,7.16,4.42,"Cincinnati Bengals,5th,151st pick,2007",2007,Cincinnati Bengals,151,2007,https://www.sports-reference.com/cfb/players/jeff-rowe-1.html,/players/R/RoweJe00.htm,Nevada,NA,45,682,1122,60.8,7862,7.0,6.7,55,33,129.9,0
JaMarcus Russell,QB,LSU,College Stats,6-5,265,4.83,,,,,,"Oakland Raiders,1st,1st pick,2007",2007,Oakland Raiders,1,2007,https://www.sports-reference.com/cfb/players/jamarcus-russell-1.html,/players/R/RussJa00.htm,LSU,NA,36,493,797,61.9,6625,8.3,8.4,52,21,147.9,6
Troy Smith,QB,Ohio State,College Stats,6-0,225,4.72,,,,,,"Baltimore Ravens,5th,174th pick,2007",2007,Baltimore Ravens,174,2007,https://www.sports-reference.com/cfb/players/troy-smith-1.html,/players/S/SmitTr02.htm,Ohio State,NA,43,420,670,62.7,5720,8.5,9.3,54,13,157.1,6
Isaiah Stanback,QB,Washington,College Stats,6-2,216,4.60,,22,,,,"Dallas Cowboys,4th,103rd pick,2007",2007,Dallas Cowboys,103,2007,https://www.sports-reference.com/cfb/players/isaiah-stanback-1.html,/players/S/StanIs00.htm,Washington,NA,36,269,523,51.4,3868,7.4,7.2,22,12,122.9,0
Drew Stanton,QB,Michigan State,College Stats,6-3,226,4.75,30.5,,108,6.77,4.41,"Detroit Lions,2nd,43rd pick,2007",2007,Detroit Lions,43,2007,https://www.sports-reference.com/cfb/players/drew-stanton-1.html,/players/S/StanDr00.htm,Michigan State,NA,45,543,846,64.2,6524,7.7,7.2,42,28,138.7,10
John Stocco,QB,Wisconsin,College Stats,6-2,207,5.08,27.0,,104,7.29,4.60,",,,",2007,,,,https://www.sports-reference.com/cfb/players/john-stocco-1.html,NA,Wisconsin,NA,39,534,934,57.2,7227,7.7,7.7,47,22,134.1,NA
Josh Swogger,QB,Montana,,6-4,237,5.12,28.5,,107,7.25,4.76,",,,",2007,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zac Taylor,QB,Nebraska,College Stats,6-2,216,5.06,30.5,,110,7.39,4.60,",,,",2007,,,,https://www.sports-reference.com/cfb/players/zac-taylor-1.html,NA,Nebraska,NA,29,470,821,57.2,5850,7.1,7.1,45,20,130.3,NA
Jared Zabransky,QB,Boise State,College Stats,6-2,219,4.56,35.5,,111,6.78,4.08,",,,",2007,,,,https://www.sports-reference.com/cfb/players/jared-zabransky-1.html,NA,Boise State,NA,47,610,980,62.2,8256,8.4,7.9,58,37,145.0,NA
Erik Ainge,QB,Tennessee,College Stats,6-5,225,4.98,21.5,,108,7.51,4.60,"New York Jets,5th,162nd pick,2008",2008,New York Jets,162,2008,https://www.sports-reference.com/cfb/players/erik-ainge-1.html,/players/A/AingEr00.htm,Tennessee,NA,43,733,1210,60.6,8700,7.2,7.1,72,35,134.8,NA
John David Booty,QB,USC,College Stats,6-2,218,4.82,22.5,,99,,4.58,",,,",2008,,,,https://www.sports-reference.com/cfb/players/john-david-booty-1.html,/players/B/BootJo00.htm,USC,NA,38,518,832,62.3,6125,7.4,7.5,55,21,140.9,NA
Colt Brennan,QB,Hawaii,College Stats,6-2,207,4.79,,,,,,"Washington Redskins,6th,186th pick,2008",2008,Washington Redskins,186,2008,https://www.sports-reference.com/cfb/players/colt-brennan-1.html,/players/B/BrenCo00.htm,Hawaii,NA,38,1115,1584,70.4,14193,9.0,9.4,131,42,167.6,NA
Alex Brink,QB,Washington State,College Stats,6-2,211,4.96,28.0,,112,7.22,4.19,"Houston Texans,7th,223rd pick,2008",2008,Houston Texans,223,2008,https://www.sports-reference.com/cfb/players/alex-brink-1.html,/players/B/BrinAl00.htm,Washington State,NA,46,848,1451,58.4,10913,7.5,7.2,76,43,133.0,NA
Brian Brohm,QB,Louisville,College Stats,6-3,230,4.81,30.0,,115,7.13,4.55,"Green Bay Packers,2nd,56th pick,2008",2008,Green Bay Packers,56,2008,https://www.sports-reference.com/cfb/players/brian-brohm-1.html,/players/B/BrohBr00.htm,Louisville,NA,44,780,1185,65.8,10775,9.1,9.4,71,24,157.9,0
Dennis Dixon,QB,Oregon,College Stats,6-3,195,4.58,,,,,,"Pittsburgh Steelers,5th,156th pick,2008",2008,Pittsburgh Steelers,156,2008,https://www.sports-reference.com/cfb/players/dennis-dixon-1.html,/players/D/DixoDe00.htm,Oregon,NA,40,444,695,63.9,5129,7.4,7.1,38,21,137.9,2
Joe Flacco,QB,Pittsburgh,College Stats,6-6,236,4.84,28.5,,110,6.82,4.27,"Baltimore Ravens,1st,18th pick,2008",2008,Baltimore Ravens,18,2008,https://www.sports-reference.com/cfb/players/joe-flacco-1.html,/players/F/FlacJo00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
Matt Flynn,QB,LSU,College Stats,6-2,231,4.79,28.0,,109,7.21,4.34,"Green Bay Packers,7th,209th pick,2008",2008,Green Bay Packers,209,2008,https://www.sports-reference.com/cfb/players/matt-flynn-1.html,/players/F/FlynMa00.htm,LSU,NA,41,245,437,56.1,3096,7.1,7.2,31,13,133.0,8
Chad Henne,QB,Michigan,College Stats,6-3,230,4.92,25.5,,106,7.17,4.40,"Miami Dolphins,2nd,57th pick,2008",2008,Miami Dolphins,57,2008,https://www.sports-reference.com/cfb/players/chad-henne-1.html,/players/H/HennCh01.htm,Michigan,NA,47,828,1387,59.7,9715,7.0,7.1,87,37,133.9,27
Josh Johnson,QB,San Diego,,6-3,213,4.53,33.5,,110,7.56,4.42,"Tampa Bay Buccaneers,5th,160th pick,2008",2008,Tampa Bay Buccaneers,160,2008,NA,/players/J/JohnJo05.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Josh Johnson,QB,San Diego,,6-3,213,4.53,33.5,,110,7.56,4.42,"Tampa Bay Buccaneers,5th,160th pick,2008",2008,Tampa Bay Buccaneers,160,2008,NA,/players/J/JohnJo07.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Josh Johnson,QB,San Diego,,6-3,213,4.53,33.5,,110,7.56,4.42,"Tampa Bay Buccaneers,5th,160th pick,2008",2008,Tampa Bay Buccaneers,160,2008,NA,/players/J/JohnJo06.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Keller,QB,Nebraska,College Stats,6-4,241,4.99,24.0,,107,7.07,4.35,",,,",2008,,,,https://www.sports-reference.com/cfb/players/sam-keller-1.html,NA,Nebraska,NA,29,205,325,63.1,2422,7.5,6.9,14,10,133.7,NA
Anthony Morelli,QB,Penn State,College Stats,6-4,231,5.07,26.5,16,108,7.43,4.60,",,,",2008,,,,https://www.sports-reference.com/cfb/players/anthony-morelli-1.html,NA,Penn State,NA,37,460,821,56.0,5275,6.4,6.1,31,19,117.8,NA
Bernard Morris,QB,Marshall,College Stats,6-3,223,4.68,24.5,18,109,,,",,,",2008,,,,https://www.sports-reference.com/cfb/players/bernard-morris-1.html,NA,Marshall,NA,35,483,803,60.1,5616,7.0,6.2,31,28,124.7,NA
Kevin O'Connell,QB,San Diego State,College Stats,6-5,225,4.61,31.0,,113,7.01,4.38,"New England Patriots,3rd,94th pick,2008",2008,New England Patriots,94,2008,https://www.sports-reference.com/cfb/players/kevin-oconnell-2.html,/players/O/OConKe00.htm,San Diego State,NA,39,664,1151,57.7,7689,6.7,6.2,46,34,121.1,0
T.C. Ostrander,QB,Stanford,College Stats,6-2,227,4.92,,,,,,",,,",2008,,,,https://www.sports-reference.com/cfb/players/tc-ostrander-1.html,NA,Stanford,NA,30,297,580,51.2,3783,6.5,6.2,15,11,110.7,NA
Matt Ryan,QB,Boston Col.,College Stats,6-5,228,4.89,,,,7.40,4.51,"Atlanta Falcons,1st,3rd pick,2008",2008,Atlanta Falcons,3,2008,https://www.sports-reference.com/cfb/players/matt-ryan-1.html,/players/R/RyanMa00.htm,Boston College,NA,43,807,1347,59.9,9313,6.9,6.5,56,37,126.2,141
Paul Smith,QB,Tulsa,College Stats,6-1,208,4.95,26.5,,111,7.02,4.29,",,,",2008,,,,https://www.sports-reference.com/cfb/players/paul-smith-2.html,/players/S/SmitPa00.htm,Tulsa,NA,47,808,1292,62.5,10936,8.5,8.5,83,35,149.4,3
Adam Tafralis,QB,San Jose State,College Stats,6-1,221,4.78,32.0,,108,7.14,4.33,",,,",2008,,,,https://www.sports-reference.com/cfb/players/adam-tafralis-1.html,NA,San Jose State,NA,45,603,1027,58.7,7548,7.3,7.1,52,29,131.5,NA
Andre Woodson,QB,Kentucky,College Stats,6-4,229,4.85,,,,,,"New York Giants,6th,198th pick,2008",2008,New York Giants,198,2008,https://www.sports-reference.com/cfb/players/andre-woodson-1.html,/players/W/WoodAn00.htm,Kentucky,NA,44,791,1278,61.9,9360,7.3,7.7,79,25,139.9,NA
Kyle Wright,QB,Miami (FL),College Stats,6-3,218,4.85,25.5,,105,7.34,4.32,",,,",2008,,,,https://www.sports-reference.com/cfb/players/kyle-wright-1.html,NA,Miami (FL),NA,33,478,807,59.2,5835,7.2,6.4,38,31,127.8,NA
Jason Boltus,QB,Hartwick,,6-3,225,4.82,31.5,26,111,7.00,4.47,",,,",2009,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhett Bomar,QB,SMU,,6-2,225,4.70,,25,106,6.91,4.06,"New York Giants,5th,151st pick,2009",2009,New York Giants,151,2009,NA,/players/B/BomaRh00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Brandstater,QB,Fresno State,College Stats,6-5,220,4.87,28.5,,106,6.93,4.37,"Denver Broncos,6th,174th pick,2009",2009,Denver Broncos,174,2009,https://www.sports-reference.com/cfb/players/tom-brandstater-1.html,/players/B/BranTo00.htm,Fresno State,NA,45,584,989,59.0,6857,6.9,6.4,47,32,126.5,0
Nathan Brown,QB,Central Arkansas,,6-1,219,4.86,30.5,,106,7.43,4.44,",,,",2009,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Cantwell,QB,Louisville,College Stats,6-4,235,5.22,26.0,,99,7.40,4.59,",,,",2009,,,,https://www.sports-reference.com/cfb/players/hunter-cantwell-1.html,/players/C/CantHu00.htm,Louisville,NA,30,313,534,58.6,3912,7.3,6.4,26,23,127.6,NA
Rudy Carpenter,QB,Arizona State,College Stats,6-2,218,4.89,29.0,11,100,7.25,4.47,",,,",2009,,,,https://www.sports-reference.com/cfb/players/rudy-carpenter-1.html,/players/C/CarpRu00.htm,Arizona State,NA,47,799,1309,61.0,10491,8.0,8.0,81,35,143.4,0
Chase Daniel,QB,Missouri,College Stats,6-0,218,4.79,33.0,,,7.28,4.31,",,,",2009,,,,https://www.sports-reference.com/cfb/players/chase-daniel-1.html,/players/D/DaniCh00.htm,Missouri,NA,51,1094,1609,68.0,12515,7.8,7.9,101,41,148.9,6
Nate Davis,QB,Ball State,College Stats,6-1,226,4.95,26.5,,99,,,"San Francisco 49ers,5th,171st pick,2009",2009,San Francisco 49ers,171,2009,https://www.sports-reference.com/cfb/players/nate-davis-1.html,/players/D/DaviNa00.htm,Ball State,NA,39,678,1124,60.3,9233,8.2,8.7,74,22,147.1,NA
