Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,year,drafted_team,drafted_pick,drafted_year,cfb_link,cav_url,cfb_school,cfb_Conf,cfb_G,cfb_Completions,cfb_Attempts,cfb_CompPct,cfb_PassingYds,cfb_YdsPerAtt,cfb_AdjPassPerAtt,cfb_Tds,cfb_Int,cfb_rating,nfl_cav
Quincy Carter,QB,Georgia,College Stats,6-2,225,4.58,35.5,,113,7.12,4.12,"Dallas Cowboys,2nd,53rd pick,2001",2001,Dallas Cowboys,53,2001,https://www.sports-reference.com/cfb/players/quincy-carter-1.html,/players/C/CartQu00.htm,Georgia,NA,29,483,853,56.6,6447,7.6,7.1,35,25,127.8,16
Justin Coleman,QB,Nebraska-Kearney,,6-4,238,5.22,29.5,,101,7.78,4.62,",,,",2001,,,,NA,/players/C/ColeJu01.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
Justin Coleman,QB,Nebraska-Kearney,,6-4,238,5.22,29.5,,101,7.78,4.62,",,,",2001,,,,NA,/players/C/ColeJu01.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
Shane Griggs,QB,Michigan,,6-4,199,4.83,,,,,,",,,",2001,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Hasselbeck,QB,Boston Col.,College Stats,6-1,211,4.83,33.0,,113,7.27,4.40,",,,",2001,,,,https://www.sports-reference.com/cfb/players/tim-hasselbeck-1.html,/players/H/HassTi00.htm,Boston College,NA,27,278,501,55.5,3890,7.8,7.5,29,16,133.4,1
Josh Heupel,QB,Oklahoma,College Stats,6-2,215,4.85,37.5,,114,7.18,4.15,"Miami Dolphins,6th,177th pick,2001",2001,Miami Dolphins,177,2001,https://www.sports-reference.com/cfb/players/josh-heupel-1.html,NA,Oklahoma,NA,24,615,972,63.3,7066,7.3,6.9,50,30,135.1,NA
Ortege Jenkins,QB,Arizona,College Stats,6-1,234,4.82,34.5,,108,7.32,4.40,",,,",2001,,,,https://www.sports-reference.com/cfb/players/ortege-jenkins-1.html,NA,Arizona,NA,45,387,769,50.3,5409,7.0,6.6,42,26,120.7,NA
Cleo Lemon,QB,Arkansas State,College Stats,6-2,226,4.87,35.5,,106,7.33,4.27,",,,",2001,,,,https://www.sports-reference.com/cfb/players/cleo-lemon-1.html,/players/L/LemoCl00.htm,Arkansas State,NA,41,551,1128,48.8,7706,6.8,6.4,48,33,114.4,6
Mike McMahon,QB,Rutgers,College Stats,6-2,207,4.57,37.5,,124,7.12,4.12,"Detroit Lions,5th,149th pick,2001",2001,Detroit Lions,149,2001,https://www.sports-reference.com/cfb/players/mike-mcmahon-1.html,/players/M/McMaMi00.htm,Rutgers,NA,35,482,974,49.5,6608,6.8,5.2,41,52,109.7,6
Romaro Miller,QB,Mississippi,College Stats,6-0,205,4.61,35.0,,110,7.40,4.51,",,,",2001,,,,https://www.sports-reference.com/cfb/players/romaro-miller-1.html,NA,Ole Miss,NA,36,515,930,55.4,6513,7.0,6.4,45,33,123.1,NA
Jesse Palmer,QB,Florida,College Stats,6-2,231,4.78,35.5,,112,7.13,4.29,"New York Giants,4th,125th pick,2001",2001,New York Giants,125,2001,https://www.sports-reference.com/cfb/players/jesse-palmer-1.html,/players/P/PalmJe00.htm,Florida,NA,27,254,479,53.0,3755,7.8,7.5,31,17,133.1,1
David Rivers,QB,West. Carolina,,6-3,223,4.73,31.5,,115,7.37,4.20,",,,",2001,,,,NA,/players/R/RiveDa00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Sage Rosenfels,QB,Iowa State,College Stats,6-4,228,4.74,34.0,,107,7.07,4.29,"Washington Redskins,4th,109th pick,2001",2001,Washington Redskins,109,2001,https://www.sports-reference.com/cfb/players/sage-rosenfels-1.html,/players/R/RoseSa00.htm,Iowa State,NA,30,306,587,52.1,4164,7.1,5.7,18,26,113.0,13
Marques Tuiasosopo,QB,Washington,College Stats,6-1,223,4.71,35.5,,115,7.36,4.35,"Oakland Raiders,2nd,59th pick,2001",2001,Oakland Raiders,59,2001,https://www.sports-reference.com/cfb/players/marques-tuiasosopo-1.html,/players/T/TuiaMa00.htm,Washington,NA,42,418,761,54.9,5501,7.2,6.4,31,28,121.7,1
Michael Vick,QB,Virginia Tech,College Stats,6-0,210,4.33,,,,,,"Atlanta Falcons,1st,1st pick,2001",2001,Atlanta Falcons,1,2001,https://www.sports-reference.com/cfb/players/michael-vick-1.html,/players/V/VickMi00.htm,Virginia Tech,NA,22,192,343,56.0,3299,9.6,9.4,21,11,150.6,91
Chris Weinke,QB,Florida State,College Stats,6-4,226,5.20,,,,,,"Carolina Panthers,4th,106th pick,2001",2001,Carolina Panthers,106,2001,https://www.sports-reference.com/cfb/players/chris-weinke-1.html,/players/W/WeinCh00.htm,Florida State,NA,36,650,1107,58.7,9839,8.9,9.0,79,32,151.1,9
David Carr,QB,Fresno State,College Stats,6-3,223,4.67,35.0,,108,7.05,4.28,"Houston Texans,1st,1st pick,2002",2002,Houston Texans,1,2002,https://www.sports-reference.com/cfb/players/david-carr-1.html,/players/C/CarrDa00.htm,Fresno State,NA,36,565,901,62.7,7458,8.3,8.6,65,22,151.2,45
Ronald Curry,QB,North Carolina,College Stats,6-2,220,4.59,35.0,,115,7.06,4.11,"Oakland Raiders,7th,235th pick,2002",2002,Oakland Raiders,235,2002,https://www.sports-reference.com/cfb/players/ronald-curry-1.html,/players/C/CurrRo01.htm,North Carolina,NA,37,345,695,49.6,4987,7.2,5.7,28,35,113.1,16
Woody Dantzler,QB,Clemson,,5-10,207,4.59,,,,,,",,,",2002,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rohan Davey,QB,LSU,College Stats,6-2,245,4.74,,,,,,"New England Patriots,4th,117th pick,2002",2002,New England Patriots,117,2002,https://www.sports-reference.com/cfb/players/rohan-davey-1.html,/players/D/DaveRo01.htm,LSU,NA,25,286,478,59.8,4415,9.2,9.0,29,15,151.2,0
Brandon Doman,QB,BYU,College Stats,6-2,210,4.81,32.5,,106,6.90,4.08,"San Francisco 49ers,5th,163rd pick,2002",2002,San Francisco 49ers,163,2002,https://www.sports-reference.com/cfb/players/brandon-doman-1.html,NA,Brigham Young,NA,32,313,504,62.1,4354,8.6,8.8,35,14,152.0,NA
Randy Fasani,QB,Stanford,College Stats,6-3,224,4.77,31.5,,106,6.75,3.87,"Carolina Panthers,5th,137th pick,2002",2002,Carolina Panthers,137,2002,https://www.sports-reference.com/cfb/players/randy-fasani-1.html,/players/F/FasaRa00.htm,Stanford,NA,36,188,369,50.9,2973,8.1,8.1,25,11,135.0,1
David Garrard,QB,East Carolina,College Stats,6-2,235,4.82,33.5,,111,7.35,4.26,"Jacksonville Jaguars,4th,108th pick,2002",2002,Jacksonville Jaguars,108,2002,https://www.sports-reference.com/cfb/players/david-garrard-1.html,/players/G/GarrDa00.htm,East Carolina,NA,44,666,1169,57.0,9029,7.7,7.2,60,39,132.1,62
Joey Harrington,QB,Oregon,College Stats,6-4,215,4.89,32.0,,112,7.00,4.21,"Detroit Lions,1st,3rd pick,2002",2002,Detroit Lions,3,2002,https://www.sports-reference.com/cfb/players/joey-harrington-1.html,/players/H/HarrJo00.htm,Oregon,NA,34,512,928,55.2,6911,7.4,7.6,59,23,133.8,31
Kurt Kittner,QB,Illinois,College Stats,6-2,221,4.86,27.0,,100,7.34,4.50,"Atlanta Falcons,5th,158th pick,2002",2002,Atlanta Falcons,158,2002,https://www.sports-reference.com/cfb/players/kurt-kittner-1.html,/players/K/KittKu00.htm,Illinois,NA,42,668,1229,54.4,8460,6.9,6.7,66,33,124.5,1
Josh McCown,QB,SMU,College Stats,6-4,221,4.59,38.5,,120,6.85,3.90,"Arizona Cardinals,3rd,81st pick,2002",2002,Arizona Cardinals,81,2002,https://www.sports-reference.com/cfb/players/josh-mccown-1.html,/players/M/McCoJo01.htm,SMU,NA,30,340,664,51.2,4022,6.1,4.6,27,34,105.3,40
David Neill,QB,Nevada,College Stats,6-3,206,4.95,30.0,,108,7.28,4.44,",,,",2002,,,,https://www.sports-reference.com/cfb/players/david-neill-1.html,NA,Nevada,NA,40,763,1376,55.5,10903,7.9,7.9,73,33,134.7,NA
J.T. O'Sullivan,QB,California-Davis,,6-2,223,4.88,29.0,,107,7.46,4.28,"New Orleans Saints,6th,186th pick,2002",2002,New Orleans Saints,186,2002,NA,/players/O/OSulJ.00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Patrick Ramsey,QB,Tulane,College Stats,6-2,219,5.24,33.5,,112,7.12,4.09,"Washington Redskins,1st,32nd pick,2002",2002,Washington Redskins,32,2002,https://www.sports-reference.com/cfb/players/patrick-ramsey-1.html,/players/R/RamsPa00.htm,Tulane,NA,35,798,1355,58.9,9205,6.8,6.2,72,51,126.0,14
Greg Zolman,QB,Vanderbilt,College Stats,6-2,220,4.93,34.0,,112,7.08,4.14,",,,",2002,,,,https://www.sports-reference.com/cfb/players/greg-zolman-1.html,NA,Vanderbilt,NA,40,596,1156,51.6,7981,6.9,5.8,41,46,113.3,NA
